epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
84,0.000154,0.000022,0.013218,0.091002,0.077493,1.350946,0.4311,0.4350,0.4330,0.6578,0.6637,0.6607,0.7556,0.7623,0.7589,223,225,0.4375,0.4,0.0,0.000249
85,0.000157,0.000022,0.013459,0.093376,0.079833,1.354261,0.4196,0.4215,0.4206,0.6473,0.6502,0.6488,0.7411,0.7444,0.7427,223,224,0.4375,0.4,0.0,0.000247
86,0.000152,0.000021,0.013142,0.091070,0.077503,1.356696,0.4311,0.4350,0.4330,0.6489,0.6547,0.6518,0.7511,0.7578,0.7545,223,225,0.4375,0.4,0.0,0.000246
87,0.000149,0.000021,0.012729,0.094146,0.080612,1.353419,0.4241,0.4260,0.4251,0.6562,0.6592,0.6577,0.7455,0.7489,0.7472,223,224,0.4375,0.4,0.0,0.000245
88,0.000137,0.000019,0.011762,0.091691,0.078204,1.348676,0.4330,0.4350,0.4340,0.6562,0.6592,0.6577,0.7500,0.7534,0.7517,223,224,0.4375,0.4,0.0,0.000244
89,0.000132,0.000018,0.011329,0.095229,0.081677,1.355175,0.4464,0.4484,0.4474,0.6562,0.6592,0.6577,0.7411,0.7444,0.7427,223,224,0.4474,0.4,0.0,0.000243
90,0.000141,0.000018,0.012325,0.092227,0.078625,1.360216,0.4178,0.4215,0.4196,0.6489,0.6547,0.6518,0.7556,0.7623,0.7589,223,225,0.4474,0.4,0.0,0.000241
91,0.000127,0.000017,0.011021,0.093303,0.079700,1.360331,0.4311,0.4350,0.4330,0.6578,0.6637,0.6607,0.7556,0.7623,0.7589,223,225,0.4474,0.4,0.0,0.000240
92,0.000127,0.000017,0.011063,0.093238,0.079683,1.355533,0.4420,0.4439,0.4430,0.6607,0.6637,0.6622,0.7545,0.7578,0.7562,223,224,0.4474,0.4,0.0,0.000239
93,0.000120,0.000016,0.010373,0.093212,0.079844,1.336790,0.4222,0.4260,0.4241,0.6444,0.6502,0.6473,0.7467,0.7534,0.7500,223,225,0.4474,0.4,0.0,0.000238
94,0.000122,0.000016,0.010614,0.094461,0.080888,1.357309,0.4375,0.4395,0.4385,0.6741,0.6771,0.6756,0.7545,0.7578,0.7562,223,224,0.4474,0.4,0.0,0.000237
95,0.000113,0.000017,0.009637,0.093980,0.080389,1.359070,0.4444,0.4484,0.4464,0.6711,0.6771,0.6741,0.7689,0.7758,0.7723,223,225,0.4474,0.4,0.0,0.000235
96,0.000109,0.000017,0.009257,0.094893,0.081358,1.353519,0.4489,0.4529,0.4509,0.6667,0.6726,0.6696,0.7556,0.7623,0.7589,223,225,0.4509,0.4,0.0,0.000234
97,0.000107,0.000014,0.009302,0.094842,0.081460,1.338185,0.4222,0.4260,0.4241,0.6578,0.6637,0.6607,0.7600,0.7668,0.7634,223,225,0.4509,0.4,0.0,0.000233
98,0.000095,0.000014,0.008079,0.093024,0.079583,1.344069,0.4489,0.4529,0.4509,0.6756,0.6816,0.6786,0.7644,0.7713,0.7679,223,225,0.4509,0.4,0.0,0.000231
99,0.000089,0.000013,0.007608,0.097453,0.083853,1.360035,0.4420,0.4439,0.4430,0.6607,0.6637,0.6622,0.7589,0.7623,0.7606,223,224,0.4509,0.4,0.0,0.000230
100,0.000087,0.000012,0.007451,0.096140,0.082513,1.362642,0.4311,0.4350,0.4330,0.6622,0.6682,0.6652,0.7556,0.7623,0.7589,223,225,0.4509,0.4,0.0,0.000229
101,0.000083,0.000013,0.007060,0.095925,0.082244,1.368108,0.4464,0.4484,0.4474,0.6607,0.6637,0.6622,0.7589,0.7623,0.7606,223,224,0.4509,0.4,0.0,0.000228
102,0.000081,0.000011,0.006964,0.096827,0.083203,1.362354,0.4489,0.4529,0.4509,0.6711,0.6771,0.6741,0.7644,0.7713,0.7679,223,225,0.4509,0.4,0.0,0.000226
103,0.000078,0.000012,0.006533,0.098507,0.085029,1.347853,0.4489,0.4529,0.4509,0.6578,0.6637,0.6607,0.7511,0.7578,0.7545,223,225,0.4509,0.4,0.0,0.000225
104,0.000085,0.000012,0.007273,0.097305,0.083606,1.369818,0.4533,0.4574,0.4554,0.6756,0.6816,0.6786,0.7644,0.7713,0.7679,223,225,0.4554,0.4,0.0,0.000224
105,0.000122,0.000012,0.011008,0.100822,0.086775,1.404671,0.4196,0.4215,0.4206,0.6429,0.6457,0.6443,0.7545,0.7578,0.7562,223,224,0.4554,0.4,0.0,0.000222
106,0.000115,0.000012,0.010304,0.098451,0.085030,1.342112,0.4375,0.4395,0.4385,0.6518,0.6547,0.6532,0.7545,0.7578,0.7562,223,224,0.4554,0.4,0.0,0.000221
107,0.000084,0.000011,0.007384,0.098802,0.085241,1.356123,0.4330,0.4350,0.4340,0.6696,0.6726,0.6711,0.7634,0.7668,0.7651,223,224,0.4554,0.4,0.0,0.000219
108,0.000069,0.000010,0.005833,0.097108,0.083601,1.350710,0.4489,0.4529,0.4509,0.6711,0.6771,0.6741,0.7600,0.7668,0.7634,223,225,0.4554,0.4,0.0,0.000218
109,0.000066,0.000010,0.005626,0.100532,0.086938,1.359339,0.4464,0.4484,0.4474,0.6607,0.6637,0.6622,0.7545,0.7578,0.7562,223,224,0.4554,0.4,0.0,0.000217
110,0.000071,0.000009,0.006153,0.097331,0.083872,1.345921,0.4489,0.4529,0.4509,0.6711,0.6771,0.6741,0.7644,0.7713,0.7679,223,225,0.4554,0.4,0.0,0.000215
111,0.000074,0.000009,0.006430,0.099706,0.086086,1.362012,0.4444,0.4484,0.4464,0.6667,0.6726,0.6696,0.7600,0.7668,0.7634,223,225,0.4554,0.4,0.0,0.000214
112,0.000082,0.000010,0.007179,0.098764,0.085173,1.359103,0.4489,0.4529,0.4509,0.6756,0.6816,0.6786,0.7644,0.7713,0.7679,223,225,0.4554,0.4,0.0,0.000213
113,0.000077,0.000009,0.006734,0.099617,0.085862,1.375481,0.4533,0.4574,0.4554,0.6800,0.6861,0.6830,0.7600,0.7668,0.7634,223,225,0.4554,0.4,0.0,0.000211
114,0.000075,0.000009,0.006616,0.098303,0.084829,1.347351,0.4598,0.4619,0.4609,0.6786,0.6816,0.6801,0.7634,0.7668,0.7651,223,224,0.4609,0.4,0.0,0.000210
115,0.000066,0.000009,0.005730,0.098267,0.084643,1.362342,0.4513,0.4574,0.4543,0.6858,0.6951,0.6904,0.7566,0.7668,0.7617,223,226,0.4609,0.4,0.0,0.000208
116,0.000069,0.000009,0.006012,0.099052,0.085518,1.353400,0.4622,0.4664,0.4643,0.6756,0.6816,0.6786,0.7600,0.7668,0.7634,223,225,0.4643,0.4,0.0,0.000207
117,0.000088,0.000014,0.007409,0.101414,0.088096,1.331772,0.4152,0.4170,0.4161,0.6562,0.6592,0.6577,0.7589,0.7623,0.7606,223,224,0.4643,0.4,0.0,0.000206
118,0.000079,0.000010,0.006925,0.100150,0.086634,1.351617,0.4489,0.4529,0.4509,0.6756,0.6816,0.6786,0.7644,0.7713,0.7679,223,225,0.4643,0.4,0.0,0.000204
