epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
42,0.008007,0.005348,0.265817,0.024918,0.013562,1.135551,0.3158,0.3229,0.3193,0.6053,0.6188,0.6120,0.7675,0.7848,0.7761,223,228,0.6095,0.9,0.1,0.000287
43,0.008697,0.005765,0.293230,0.029546,0.016968,1.257791,0.0893,0.0897,0.0895,0.2188,0.2197,0.2192,0.4866,0.4888,0.4877,223,224,0.6095,0.9,0.1,0.000286
44,0.008929,0.005682,0.324753,0.028671,0.017133,1.153739,0.3500,0.3453,0.3476,0.6318,0.6233,0.6275,0.8136,0.8027,0.8081,223,220,0.6095,0.9,0.1,0.000286
45,0.007900,0.005184,0.271617,0.028561,0.016981,1.158073,0.3550,0.3677,0.3612,0.6537,0.6771,0.6652,0.7879,0.8161,0.8018,223,231,0.6095,0.9,0.0,0.000285
46,0.007490,0.004953,0.253764,0.026165,0.014872,1.129216,0.2130,0.2197,0.2163,0.4565,0.4709,0.4636,0.6565,0.6771,0.6667,223,230,0.6095,0.9,0.1,0.000284
47,0.006646,0.004476,0.217012,0.030699,0.018334,1.236524,0.2257,0.2287,0.2272,0.4823,0.4888,0.4855,0.6947,0.7040,0.6993,223,226,0.6095,0.9,0.1,0.000283
48,0.006234,0.004229,0.200448,0.032360,0.020946,1.141339,0.1468,0.1435,0.1451,0.4083,0.3991,0.4036,0.6147,0.6009,0.6077,223,218,0.6095,0.9,0.0,0.000283
49,0.006341,0.004207,0.213396,0.038626,0.024252,1.437461,0.2864,0.2825,0.2844,0.5273,0.5202,0.5237,0.7409,0.7309,0.7359,223,220,0.6095,0.9,0.1,0.000282
50,0.007246,0.004741,0.250433,0.025167,0.015406,0.976108,0.2889,0.2915,0.2902,0.5422,0.5471,0.5446,0.6844,0.6906,0.6875,223,225,0.6095,0.9,0.0,0.000281
51,0.008284,0.005344,0.293935,0.031524,0.020177,1.134772,0.2617,0.2511,0.2563,0.5093,0.4888,0.4989,0.7009,0.6726,0.6865,223,214,0.6095,0.9,0.1,0.000281
52,0.008001,0.005191,0.281021,0.029130,0.017419,1.171045,0.3026,0.3094,0.3060,0.5746,0.5874,0.5809,0.7149,0.7309,0.7228,223,228,0.6095,0.9,0.0,0.000280
