epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
51,0.113704,0.043416,7.028736,0.252023,0.097787,15.423553,0.1481,0.0179,0.0320,0.2593,0.0314,0.0560,0.5556,0.0673,0.1200,223,27,0.1503,0.2,0.0,0.000281
52,0.115549,0.046513,6.903656,0.169168,0.046908,12.225989,0.0842,0.1031,0.0927,0.1722,0.2108,0.1895,0.2527,0.3094,0.2782,223,273,0.1503,0.2,0.0,0.000280
53,0.108780,0.040110,6.866982,0.175026,0.050273,12.475218,0.0762,0.0717,0.0739,0.1714,0.1614,0.1663,0.2571,0.2422,0.2494,223,210,0.1503,0.2,0.0,0.000279
54,0.107931,0.038518,6.941303,0.194984,0.051919,14.306469,0.1082,0.0942,0.1007,0.2010,0.1749,0.1871,0.3144,0.2735,0.2926,223,194,0.1503,0.2,0.0,0.000278
55,0.113615,0.040973,7.264177,0.194484,0.051109,14.337461,0.1095,0.0987,0.1038,0.2040,0.1839,0.1934,0.3035,0.2735,0.2877,223,201,0.1503,0.2,0.0,0.000277
56,0.112772,0.041356,7.141544,0.187464,0.064580,12.288438,0.0556,0.0269,0.0363,0.1759,0.0852,0.1148,0.2407,0.1166,0.1571,223,108,0.1503,0.2,0.0,0.000277
57,0.112356,0.041462,7.089396,0.163314,0.043916,11.939807,0.0708,0.1076,0.0854,0.1416,0.2152,0.1708,0.2094,0.3184,0.2527,223,339,0.1503,0.2,0.0,0.000276
58,0.109271,0.040046,6.922464,0.176066,0.049002,12.706452,0.1086,0.1076,0.1081,0.1810,0.1794,0.1802,0.2805,0.2780,0.2793,223,221,0.1503,0.2,0.0,0.000275
59,0.107943,0.039785,6.815765,0.183688,0.055773,12.791419,0.0932,0.0673,0.0781,0.1801,0.1300,0.1510,0.2733,0.1973,0.2292,223,161,0.1503,0.2,0.0,0.000274
60,0.106168,0.038469,6.769906,0.177903,0.054126,12.377763,0.0756,0.0583,0.0658,0.1512,0.1166,0.1316,0.2500,0.1928,0.2177,223,172,0.1503,0.2,0.0,0.000273
61,0.105895,0.037690,6.820472,0.221634,0.059046,16.258707,0.1259,0.0762,0.0950,0.1926,0.1166,0.1453,0.4074,0.2466,0.3073,223,135,0.1503,0.2,0.0,0.000272
62,0.106210,0.038029,6.818072,0.186766,0.056273,13.049288,0.0903,0.0628,0.0741,0.1935,0.1345,0.1587,0.2645,0.1839,0.2169,223,155,0.1503,0.2,0.0,0.000271
63,0.105774,0.037940,6.783349,0.198980,0.053856,14.512403,0.0983,0.0762,0.0859,0.1965,0.1525,0.1717,0.3006,0.2332,0.2626,223,173,0.1503,0.2,0.0,0.000270
64,0.104613,0.037486,6.712736,0.212867,0.057144,15.572339,0.1007,0.0673,0.0806,0.1879,0.1256,0.1505,0.3087,0.2063,0.2473,223,149,0.1503,0.2,0.0,0.000270
65,0.110156,0.038466,7.169052,0.174501,0.050634,12.386740,0.0854,0.0762,0.0806,0.1759,0.1570,0.1659,0.2513,0.2242,0.2370,223,199,0.1503,0.2,0.0,0.000269
66,0.108088,0.038500,6.958773,0.194867,0.049759,14.510879,0.1116,0.1076,0.1096,0.2047,0.1973,0.2009,0.3023,0.2915,0.2968,223,215,0.1503,0.2,0.0,0.000268
67,0.104837,0.037658,6.717844,0.193629,0.052246,14.138291,0.1087,0.0897,0.0983,0.2065,0.1704,0.1867,0.3207,0.2646,0.2899,223,184,0.1503,0.2,0.0,0.000267
68,0.104551,0.037733,6.681754,0.188146,0.049481,13.866547,0.0995,0.0942,0.0968,0.1991,0.1883,0.1935,0.2986,0.2825,0.2903,223,211,0.1503,0.2,0.0,0.000266
69,0.104581,0.037681,6.689931,0.174175,0.047253,12.692249,0.0837,0.0942,0.0886,0.1793,0.2018,0.1899,0.2430,0.2735,0.2574,223,251,0.1503,0.2,0.0,0.000265
70,0.109447,0.039736,6.971038,0.176237,0.045965,13.027190,0.0797,0.0987,0.0882,0.1739,0.2152,0.1924,0.2355,0.2915,0.2605,223,276,0.1503,0.2,0.0,0.000264
71,0.107849,0.038111,6.973757,0.232533,0.057798,17.473480,0.1469,0.0942,0.1148,0.2308,0.1480,0.1803,0.4266,0.2735,0.3333,223,143,0.1503,0.2,0.0,0.000263
72,0.106466,0.037454,6.901249,0.222279,0.060938,16.134066,0.1157,0.0628,0.0814,0.2231,0.1211,0.1570,0.4132,0.2242,0.2907,223,121,0.1503,0.2,0.0,0.000262
73,0.104647,0.037490,6.715725,0.184686,0.053969,13.071704,0.0838,0.0628,0.0718,0.1796,0.1345,0.1538,0.2754,0.2063,0.2359,223,167,0.1503,0.2,0.0,0.000261
74,0.106568,0.037543,6.902550,0.180096,0.047990,13.210636,0.1059,0.1121,0.1089,0.1907,0.2018,0.1961,0.2797,0.2960,0.2876,223,236,0.1503,0.2,0.0,0.000260
75,0.108554,0.037874,7.067958,0.230743,0.052359,17.838419,0.1573,0.1256,0.1397,0.2528,0.2018,0.2244,0.4551,0.3632,0.4040,223,178,0.1503,0.2,0.0,0.000259
76,0.106733,0.037282,6.945034,0.218070,0.052614,16.545605,0.1326,0.1076,0.1188,0.2486,0.2018,0.2228,0.4254,0.3453,0.3812,223,181,0.1503,0.2,0.0,0.000258
77,0.104167,0.037230,6.693702,0.189370,0.053019,13.635068,0.1006,0.0807,0.0896,0.1955,0.1570,0.1741,0.3017,0.2422,0.2687,223,179,0.1503,0.2,0.0,0.000256
78,0.103490,0.037013,6.647747,0.207532,0.054034,15.349752,0.1207,0.0942,0.1058,0.2069,0.1614,0.1814,0.3621,0.2825,0.3174,223,174,0.1503,0.2,0.0,0.000255
79,0.102757,0.036874,6.588246,0.201691,0.054089,14.760201,0.1098,0.0852,0.0960,0.2081,0.1614,0.1818,0.3353,0.2601,0.2929,223,173,0.1503,0.1,0.0,0.000254
80,0.102971,0.037141,6.583023,0.206521,0.055865,15.065563,0.1118,0.0807,0.0938,0.2050,0.1480,0.1719,0.2981,0.2152,0.2500,223,161,0.1503,0.2,0.0,0.000253
81,0.103086,0.037247,6.583962,0.217586,0.058073,15.951328,0.1192,0.0807,0.0963,0.2119,0.1435,0.1711,0.3377,0.2287,0.2727,223,151,0.1503,0.2,0.0,0.000252
82,0.102206,0.036892,6.531396,0.216290,0.057609,15.868124,0.1242,0.0852,0.1011,0.2157,0.1480,0.1755,0.3399,0.2332,0.2766,223,153,0.1503,0.2,0.0,0.000251
83,0.102464,0.037377,6.508695,0.215918,0.061888,15.403029,0.0827,0.0493,0.0618,0.2030,0.1211,0.1517,0.3383,0.2018,0.2528,223,133,0.1503,0.2,0.0,0.000250
84,0.102603,0.037181,6.542181,0.226605,0.052710,17.389543,0.1459,0.1211,0.1324,0.2432,0.2018,0.2206,0.4000,0.3318,0.3627,223,185,0.1503,0.2,0.0,0.000249
85,0.102982,0.037207,6.577490,0.220500,0.051255,16.924524,0.1457,0.1300,0.1374,0.2462,0.2197,0.2322,0.3769,0.3363,0.3555,223,199,0.1503,0.2,0.0,0.000247
86,0.106184,0.040355,6.582879,0.237764,0.066745,17.101881,0.1089,0.0493,0.0679,0.2079,0.0942,0.1296,0.3564,0.1614,0.2222,223,101,0.1503,0.2,0.0,0.000246
87,0.102910,0.037629,6.528164,0.188087,0.052425,13.566164,0.0984,0.0807,0.0887,0.1803,0.1480,0.1626,0.2678,0.2197,0.2414,223,183,0.1503,0.2,0.0,0.000245
88,0.105962,0.037343,6.861950,0.196405,0.051351,14.505410,0.0938,0.0807,0.0867,0.1979,0.1704,0.1831,0.2917,0.2511,0.2699,223,192,0.1503,0.2,0.0,0.000244
89,0.106236,0.037179,6.905727,0.195402,0.050399,14.500318,0.0976,0.0897,0.0935,0.2098,0.1928,0.2009,0.2927,0.2691,0.2804,223,205,0.1503,0.2,0.0,0.000243
90,0.118598,0.040072,7.852607,0.174102,0.043838,13.026381,0.0739,0.1166,0.0904,0.1136,0.1794,0.1391,0.1903,0.3004,0.2330,223,352,0.1503,0.2,0.0,0.000241
91,0.118956,0.049495,6.946119,0.200146,0.045069,15.507691,0.0679,0.1345,0.0902,0.1312,0.2601,0.1744,0.2240,0.4439,0.2977,223,442,0.1503,0.2,0.0,0.000240
92,0.111187,0.045991,6.519572,0.225650,0.058003,16.764694,0.1154,0.0807,0.0950,0.2244,0.1570,0.1847,0.3526,0.2466,0.2902,223,156,0.1503,0.2,0.0,0.000239
93,0.102766,0.038049,6.471681,0.220987,0.060665,16.032228,0.0853,0.0493,0.0625,0.1860,0.1076,0.1364,0.3411,0.1973,0.2500,223,129,0.1503,0.2,0.0,0.000238
94,0.102675,0.037426,6.524848,0.218335,0.058259,16.007521,0.0833,0.0538,0.0654,0.1667,0.1076,0.1308,0.3056,0.1973,0.2398,223,144,0.1503,0.2,0.0,0.000237
95,0.103265,0.038059,6.520524,0.197286,0.051350,14.593581,0.0904,0.0762,0.0827,0.2021,0.1704,0.1849,0.2979,0.2511,0.2725,223,188,0.1503,0.2,0.0,0.000235
96,0.102768,0.037530,6.523840,0.217885,0.049033,16.885220,0.1166,0.1166,0.1166,0.1973,0.1973,0.1973,0.3408,0.3408,0.3408,223,223,0.1503,0.2,0.0,0.000234
97,0.102122,0.037230,6.489275,0.208618,0.051872,15.674590,0.1088,0.0942,0.1010,0.1969,0.1704,0.1827,0.3161,0.2735,0.2933,223,193,0.1503,0.2,0.0,0.000233
98,0.101412,0.036628,6.478418,0.229608,0.055143,17.446411,0.1000,0.0762,0.0865,0.1941,0.1480,0.1679,0.3471,0.2646,0.3003,223,170,0.1503,0.2,0.0,0.000231
99,0.100901,0.036502,6.439863,0.230137,0.058932,17.120484,0.1049,0.0673,0.0820,0.2028,0.1300,0.1585,0.3427,0.2197,0.2678,223,143,0.1503,0.2,0.0,0.000230
