epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
71,0.000286,0.000073,0.021273,0.244794,0.210713,3.408053,0.4692,0.4439,0.4562,0.6588,0.6233,0.6406,0.7346,0.6951,0.7143,223,211,0.4879,0.2,0.0,0.000263
72,0.000254,0.000067,0.018658,0.256222,0.221194,3.502803,0.4589,0.4260,0.4419,0.6715,0.6233,0.6465,0.7343,0.6816,0.7070,223,207,0.4879,0.2,0.0,0.000262
73,0.000250,0.000060,0.019016,0.250330,0.216311,3.401894,0.4597,0.4350,0.4470,0.6635,0.6278,0.6452,0.7251,0.6861,0.7051,223,211,0.4879,0.2,0.0,0.000261
74,0.000276,0.000061,0.021511,0.248774,0.215217,3.355751,0.4476,0.4215,0.4342,0.6571,0.6188,0.6374,0.7381,0.6951,0.7159,223,210,0.4879,0.2,0.0,0.000260
75,0.000247,0.000063,0.018445,0.255846,0.220872,3.497382,0.4550,0.4305,0.4424,0.6540,0.6188,0.6359,0.7393,0.6996,0.7189,223,211,0.4879,0.2,0.0,0.000259
76,0.000199,0.000047,0.015250,0.265271,0.230752,3.451954,0.4563,0.4215,0.4382,0.6748,0.6233,0.6480,0.7427,0.6861,0.7133,223,206,0.4879,0.2,0.0,0.000258
77,0.000169,0.000041,0.012849,0.254589,0.220441,3.414723,0.4645,0.4395,0.4516,0.6777,0.6413,0.6590,0.7299,0.6906,0.7097,223,211,0.4879,0.2,0.0,0.000256
78,0.000162,0.000037,0.012475,0.258597,0.224285,3.431121,0.4571,0.4305,0.4434,0.6762,0.6368,0.6559,0.7429,0.6996,0.7206,223,210,0.4879,0.2,0.0,0.000255
79,0.000149,0.000034,0.011532,0.266057,0.231463,3.459361,0.4502,0.4260,0.4378,0.6682,0.6323,0.6498,0.7441,0.7040,0.7235,223,211,0.4879,0.2,0.0,0.000254
80,0.000145,0.000031,0.011334,0.265173,0.230121,3.505233,0.4645,0.4395,0.4516,0.6635,0.6278,0.6452,0.7441,0.7040,0.7235,223,211,0.4879,0.2,0.0,0.000253
81,0.000137,0.000029,0.010866,0.268867,0.233740,3.512726,0.4648,0.4439,0.4541,0.6573,0.6278,0.6422,0.7277,0.6951,0.7110,223,213,0.4879,0.2,0.0,0.000252
